[VAMS][2012-07-30 12:32:55,800] INFO | 服务器已启动，端口号：3005 | [main] org.noneorone.apache.mina.ServerCase.main(44)
[VAMS][2012-07-30 13:05:06,054] INFO | 已建立连接. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionCreated(42)
[VAMS][2012-07-30 13:05:06,055] INFO | 连接已打开. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionOpened(52)
[VAMS][2012-07-30 13:05:19,709] INFO | 服务端收到消息：jack is a dull boy! | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:05:19,716] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:05:29,718] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-07-30 13:05:39,718] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-07-30 13:05:49,719] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-07-30 13:05:59,720] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-07-30 13:06:09,720] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-07-30 13:06:21,069] INFO | 服务端收到消息：go | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:21,070] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:28,013] INFO | 服务端收到消息：jack | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:28,014] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:33,724] INFO | 服务端收到消息：ni hao  | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:33,725] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:36,557] INFO | 服务端收到消息：jack | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:36,558] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:40,621] INFO | 服务端收到消息：its | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:40,622] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:48,012] INFO | 服务端收到消息：rose love kitty | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:48,013] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-07-30 13:06:52,189] INFO | 服务端收到消息：exit | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-07-30 13:06:52,193] INFO | 连接已关闭. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionClosed(37)
[VAMS][2012-08-06 14:22:03,945] INFO | 服务器已启动，端口号：3005 | [main] org.noneorone.apache.mina.ServerCase.main(43)
[VAMS][2012-08-06 14:23:43,753] INFO | 已建立连接. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionCreated(42)
[VAMS][2012-08-06 14:23:43,755] INFO | 连接已打开. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionOpened(52)
[VAMS][2012-08-06 14:23:43,759] INFO | 服务端收到消息：Mina Baby! | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:23:43,763] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-08-06 14:23:53,763] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:03,765] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:13,781] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:23,783] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:33,784] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:43,784] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:24:53,785] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:03,787] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:13,796] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:23,798] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:33,809] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:43,812] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:53,813] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:03,813] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:13,814] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:23,817] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:38:57,985] INFO | 服务器已启动，端口号：3005 | [main] org.noneorone.apache.mina.ServerCase.main(45)
